student_name,branch,year,cgpa,coding_skills,dsa_score,ml_knowledge,frontend_skill,backend_skill,database_skill,cloud_computing,devops_skill,cybersecurity_skill,embedded_c,microcontrollers,arduino_skill,raspberry_pi_skill,rtos_knowledge,embedded_linux,firmware_development,device_drivers,digital_electronics,analog_electronics,pcb_design,circuit_design,vlsi_knowledge,verilog_vhdl,fpga_skill,iot_knowledge,sensor_integration,wireless_protocols,mqtt_protocol,edge_computing,robotics_skill,computer_vision,control_systems,ros_knowledge,communication_skills,leadership_score,problem_solving,teamwork_score,presentation_skill,innovation_score,projects_count,internships,preferred_role
Madhav U. Krishnamurthy,EEE,3,7.44,69,29,20,14,11,28,33,25,6,72,69,65,28,69,49,68,82,78,36,70,79,50,16,46,1,26,0,24,50,32,28,26,19,44,74,22,75,1,28,3,2,Embedded Engineer
Darshan N. Gowda,CSBS,2,6.94,57,73,21,67,76,55,46,47,13,17,14,0,4,42,38,0,20,15,37,49,25,4,41,30,47,34,16,10,9,13,23,14,13,57,47,55,64,31,15,3,2,Full Stack Developer
Rohan Y. Menon,Mechanical,1,6.84,64,25,44,7,32,0,23,23,16,62,60,52,1,65,50,76,77,85,45,29,57,15,23,0,31,19,10,23,44,1,0,18,22,62,89,43,71,42,18,5,0,Embedded Engineer
Rhea S. Khan,AI,2,6.95,55,71,15,8,97,75,68,52,52,0,31,25,15,19,15,32,0,28,40,26,25,34,5,14,19,24,0,35,39,37,25,30,0,53,42,49,59,22,21,1,0,Backend Developer
Keerthana Y. Koneru,Civil,3,7.11,76,20,14,14,14,5,24,9,0,59,37,51,0,16,26,7,31,34,10,23,0,5,39,0,46,70,15,2,25,78,68,80,72,66,40,38,48,56,30,5,1,Robotics Engineer
Vaishnavi R. Mukherjee,AI&DS,4,6.68,48,78,65,0,9,70,43,0,26,32,33,33,36,23,18,9,20,1,27,4,20,33,0,5,22,13,17,34,20,3,73,13,36,90,74,59,65,68,35,5,2,ML Engineer
Tejas K. Roy,CSBS,1,6.75,100,60,42,100,66,67,61,42,0,60,20,7,45,9,23,30,18,15,18,22,27,38,29,8,0,35,49,26,15,0,39,19,23,49,25,61,96,50,44,1,1,Full Stack Developer
Pooja K. Malhotra,Civil,3,7.47,86,0,23,45,19,44,50,3,34,71,43,47,0,6,1,26,15,9,27,30,34,60,3,13,24,67,19,3,0,77,79,69,63,69,75,25,82,37,25,3,1,Robotics Engineer
Janani M. Kapoor,CSBS,1,7.09,71,19,2,31,70,61,64,76,64,36,0,30,40,6,10,0,19,32,45,35,14,19,28,45,11,18,18,29,0,13,0,17,34,71,57,20,50,37,11,2,0,Cloud Engineer
Pranavi G. Chakraborty,EEE,4,7.06,77,6,0,7,70,58,62,57,63,0,27,38,14,48,11,26,0,16,14,44,7,16,26,0,10,0,0,0,10,28,6,26,6,81,68,10,53,51,9,6,2,Cloud Engineer
Niharika A. Gowda,AI,2,6.99,86,80,16,21,58,70,34,42,73,41,1,22,8,29,27,24,27,38,18,33,0,10,15,18,34,28,22,0,47,7,37,22,0,76,83,49,63,28,42,8,1,Backend Developer
Nandini S. Khanna,AI&DS,3,6.91,47,67,30,42,40,68,86,53,76,29,8,33,20,25,39,54,27,33,9,27,0,19,39,17,25,21,0,27,6,55,21,6,26,28,42,42,78,38,12,7,3,Cybersecurity Analyst
Nandini J. Kompella,CSBS,2,6.66,74,61,59,13,16,71,66,0,24,0,15,25,34,11,18,16,19,38,2,37,32,42,34,26,34,42,0,18,11,17,84,13,2,64,53,41,44,62,15,2,0,ML Engineer
Mihika R. Nambiar,Data Science,3,6.52,77,89,44,13,76,33,30,61,90,30,33,0,21,16,0,5,49,14,36,3,13,22,19,32,0,29,16,43,14,6,38,0,15,41,40,90,48,24,39,6,1,Cybersecurity Analyst
Navya G. Ghosh,CSE,4,7.66,75,6,13,13,13,23,30,37,45,64,24,39,24,11,25,31,33,86,82,77,62,95,96,76,16,36,26,22,20,34,17,52,28,75,69,31,41,35,4,8,3,VLSI Engineer
Pranav D. Iqbal,Civil,2,6.89,85,22,0,37,27,47,11,48,13,72,44,46,19,15,15,13,63,71,85,71,78,70,82,100,45,45,31,39,32,24,43,53,37,65,52,45,86,26,35,8,2,VLSI Engineer
Vinay B. Hegde,CSE,1,7.33,78,32,17,0,16,27,4,29,14,79,70,34,19,33,46,82,90,83,53,68,93,45,24,6,27,34,6,40,15,41,28,22,12,20,58,28,57,5,29,6,1,Embedded Engineer
Charitha A. Bhatia,AI,1,6.35,60,73,10,55,94,59,56,51,6,22,18,19,25,28,19,9,9,22,4,34,47,31,46,30,35,13,8,13,0,19,36,31,34,65,61,46,79,38,26,2,1,Full Stack Developer
Samhita L. Murthy,EEE,1,7.17,68,14,39,13,13,9,12,3,21,52,62,72,28,54,50,53,82,54,33,62,84,9,32,22,0,9,37,35,3,38,21,20,27,54,54,18,56,6,26,5,0,Embedded Engineer
Yash S. Malhotra,ECE,1,7.11,58,33,33,19,0,40,33,25,21,90,54,44,10,0,38,20,9,28,23,19,20,34,39,41,69,29,5,21,17,74,76,55,80,63,56,44,72,37,7,3,1,Robotics Engineer
Pooja Y. Mukherjee,IT,2,6.9,57,85,6,59,50,76,70,45,32,0,39,8,0,16,16,38,56,22,25,37,15,41,13,27,20,9,32,0,15,9,0,6,20,61,85,33,63,18,36,3,1,Full Stack Developer
Vaishnavi K. Krishnamurthy,Mechanical,3,7.1,63,43,2,56,44,54,33,48,1,81,54,88,58,46,71,11,40,0,3,14,12,12,39,54,89,79,77,89,38,25,51,22,20,53,65,13,80,28,37,6,2,IoT Engineer
Krishna D. Pillai,ECE,3,7.71,67,0,35,11,28,23,0,25,16,64,66,34,33,50,68,70,59,76,33,55,91,42,10,16,38,39,32,9,16,11,19,18,42,70,66,29,75,48,19,7,3,Embedded Engineer
Ayush H. Peddireddy,Data Science,1,7.08,42,37,15,0,23,30,32,14,18,56,24,32,12,33,17,44,53,69,71,31,70,50,59,82,33,2,22,24,22,25,19,54,14,58,72,40,32,27,27,2,0,VLSI Engineer
Yamini A. Iyer,IT,4,7.75,74,29,30,25,41,53,7,16,46,60,93,48,60,17,45,44,44,40,25,30,64,34,30,4,87,68,86,100,38,55,10,28,10,61,85,26,64,18,43,10,2,IoT Engineer
Charitha V. Roy,IT,4,7.59,76,14,47,14,51,54,24,0,19,69,63,48,56,45,57,24,25,0,47,18,12,31,31,41,55,64,62,61,36,18,0,16,7,47,77,32,44,24,24,6,3,IoT Engineer
Pranav R. Ansari,IT,3,7.34,81,100,18,0,68,88,60,51,42,19,22,38,29,38,22,37,18,24,12,70,22,14,32,17,40,32,35,16,11,19,8,8,30,62,38,66,66,40,48,5,2,Backend Developer
Neha M. Srinivasan,ECE,4,6.71,84,28,35,23,42,39,0,0,22,68,55,40,49,42,71,26,32,39,13,21,53,49,25,15,85,76,82,79,52,39,24,0,28,48,65,30,60,36,26,8,3,IoT Engineer
Aditya A. Raju,Data Science,4,7.0,80,87,71,29,50,58,69,36,25,15,21,50,30,23,23,29,23,29,1,0,0,3,23,23,44,24,28,20,25,22,45,9,36,70,32,83,63,35,47,7,2,ML Engineer
Ayush V. Menon,EEE,3,7.29,72,75,4,39,77,72,53,43,100,24,21,28,25,7,15,41,33,32,36,0,13,39,0,39,27,48,20,0,1,27,44,44,26,51,31,71,64,36,48,5,2,Backend Developer
Aparna J. Iyer,Civil,1,6.61,62,5,0,30,22,6,0,26,0,57,64,38,64,39,47,10,11,24,20,19,18,18,19,15,54,65,54,45,42,0,33,8,5,73,84,15,69,35,21,2,1,IoT Engineer
Sowmya B. Patel,AI,2,6.96,63,55,52,21,10,73,42,30,0,45,36,26,29,33,11,23,0,4,24,11,27,24,0,26,1,22,6,5,0,31,83,25,0,45,48,42,57,25,30,4,2,ML Engineer
Meghana D. Ahmed,Data Science,4,7.05,73,27,0,12,20,32,11,32,6,91,86,44,38,23,46,63,49,61,39,43,74,29,29,31,4,20,2,0,33,23,15,10,13,66,77,35,80,35,18,7,3,Embedded Engineer
Diya M. More,Civil,3,6.72,64,39,9,23,18,7,43,17,27,76,68,54,17,70,39,75,55,65,48,30,60,38,24,16,19,1,28,29,22,38,8,7,45,54,36,40,44,32,4,7,3,Embedded Engineer
Bhargav K. Rao,CSBS,1,7.08,67,30,25,47,0,42,22,12,59,47,32,29,7,26,24,34,79,74,58,64,73,92,55,55,26,13,36,11,11,14,50,72,38,63,41,42,62,29,41,2,2,VLSI Engineer
Diya D. Atluri,Civil,4,6.99,52,5,31,0,0,12,26,15,21,67,100,36,36,22,33,0,3,12,36,16,30,14,12,33,60,68,71,64,49,7,35,15,2,63,80,6,67,16,17,8,2,IoT Engineer
Amrita H. Raju,Mechanical,2,7.05,52,37,40,30,31,31,5,14,22,84,49,55,4,40,42,52,65,63,52,70,76,23,28,0,7,34,16,12,13,18,0,10,19,42,76,27,55,29,45,3,2,Embedded Engineer
Yuvan H. Nandi,AI&DS,1,6.98,85,58,92,6,26,41,61,26,37,0,20,29,42,17,6,28,32,24,0,39,0,23,9,34,3,27,42,34,5,24,44,46,5,55,59,68,100,48,39,4,1,ML Engineer
Abhinav G. Patil,AI,4,6.64,81,84,78,21,7,79,56,2,37,40,4,25,45,32,19,15,6,17,19,0,23,34,20,28,21,19,51,18,31,22,100,32,25,36,73,55,87,32,63,7,3,ML Engineer
Neha U. Atluri,Data Science,1,7.09,63,95,33,72,75,71,50,60,15,30,15,21,5,0,19,25,27,7,20,16,54,44,36,0,6,16,38,29,55,40,32,19,0,35,49,77,53,7,43,4,1,Full Stack Developer
Abhinav G. Saha,Civil,2,7.47,86,28,36,12,18,0,23,13,53,63,50,55,82,47,30,33,33,0,38,23,34,32,49,13,69,76,90,61,39,18,24,6,14,65,68,52,71,40,26,4,1,IoT Engineer
Mohan M. Pillai,ECE,1,6.84,72,28,12,19,19,31,9,17,44,74,61,84,16,11,35,43,38,23,14,49,30,22,29,23,44,55,27,25,42,82,65,57,74,75,57,38,42,30,29,5,0,Robotics Engineer
Radhika N. Malhotra,Data Science,2,6.48,82,0,17,9,36,3,9,22,3,45,35,9,33,23,19,42,49,73,57,45,83,87,55,77,12,23,27,33,0,19,33,76,1,54,52,24,55,26,28,5,2,VLSI Engineer
Gayathri M. Qureshi,CSE,3,6.59,70,89,42,23,84,72,35,22,32,13,26,38,27,22,58,26,0,0,34,21,12,35,21,31,25,11,12,38,0,0,31,0,25,56,86,59,89,35,35,5,3,Backend Developer
Abhinav A. Mehta,EEE,2,7.59,67,32,44,20,42,37,13,22,4,94,61,70,32,24,35,7,35,49,25,55,19,31,20,20,61,39,35,0,7,78,70,80,70,62,47,44,62,25,34,7,2,Robotics Engineer
Priya L. Qureshi,EEE,3,7.31,64,24,23,36,0,44,28,0,0,53,72,58,12,55,43,57,67,49,40,35,65,15,3,33,49,39,21,8,65,44,0,28,6,70,17,26,72,49,20,7,1,Embedded Engineer
Eesha B. Saladi,EEE,3,6.97,82,16,17,24,57,46,51,44,44,92,73,71,52,24,73,39,15,29,29,27,20,26,16,16,81,70,84,82,54,0,19,32,19,72,67,44,80,37,45,7,1,IoT Engineer
Aditi S. Satyanarayana,ECE,1,6.92,77,15,0,25,13,52,16,30,23,73,38,18,39,19,41,14,76,74,71,46,77,88,100,70,24,23,18,30,38,4,0,61,14,50,43,30,69,30,19,4,0,VLSI Engineer
Harish Y. Pawar,AI,2,6.35,67,61,13,22,62,88,60,52,48,8,46,0,20,42,39,34,37,16,8,48,31,13,1,37,19,33,18,0,21,0,0,23,12,66,87,58,58,8,48,3,2,Backend Developer
Aarav R. Nandi,IT,2,6.56,72,76,36,77,75,73,51,28,25,31,4,35,16,0,7,29,15,10,0,4,28,20,40,18,19,40,23,9,21,48,33,12,4,49,76,51,60,37,24,3,1,Full Stack Developer
Sahana K. Chawla,ECE,4,7.17,80,18,42,44,16,10,13,9,34,97,78,46,63,40,89,16,17,30,31,5,7,16,30,22,98,66,83,79,47,41,20,24,20,43,68,29,61,12,24,8,2,IoT Engineer
Keerthana M. Jadhav,AI&DS,4,7.03,69,78,75,0,42,81,73,0,3,12,42,21,38,10,29,0,8,29,28,31,11,38,26,38,18,9,31,29,40,20,67,17,38,70,78,59,58,43,47,8,2,ML Engineer
Tarun J. Singh,Mechanical,4,7.17,67,70,35,30,73,40,29,38,61,0,31,24,7,23,13,39,17,9,32,10,1,14,32,30,8,0,7,41,50,29,25,11,21,58,90,48,48,33,32,6,1,Cybersecurity Analyst
Aakash K. Chowdary,CSE,1,6.77,69,6,46,18,41,21,22,13,19,59,21,47,2,20,24,20,38,71,85,46,77,65,63,96,30,12,43,36,31,35,23,73,36,86,44,27,75,31,26,3,0,VLSI Engineer
Nikhil Y. Iyengar,AI&DS,3,6.99,65,84,41,49,70,89,46,59,56,11,27,54,17,25,13,23,18,22,36,0,15,37,12,8,34,13,44,38,26,19,41,15,22,80,44,57,91,52,41,6,2,Backend Developer
Vaishnavi P. Nandi,Civil,3,6.9,61,5,33,60,37,39,18,11,31,29,2,40,2,0,35,21,55,68,64,72,70,63,62,88,31,36,30,25,39,20,27,33,6,57,53,23,72,43,11,4,2,VLSI Engineer
Sagar Y. Gowda,CSBS,3,7.16,56,78,47,39,58,83,67,67,35,29,15,33,8,23,37,25,30,41,27,30,13,44,26,45,8,9,26,38,0,14,44,29,24,61,80,59,50,47,31,6,2,Backend Developer
Advait S. Pawar,ECE,4,6.9,32,9,14,19,19,20,29,26,20,49,28,36,29,11,37,45,70,93,84,42,67,69,77,69,14,16,4,16,47,31,36,52,44,76,50,31,96,41,41,7,2,VLSI Engineer
Krishna L. Ansari,CSE,1,6.92,87,87,35,4,66,95,31,55,81,27,24,32,53,37,27,7,12,26,20,0,24,8,55,31,0,35,22,54,3,20,42,3,44,34,73,60,61,25,30,1,2,Backend Developer
Sagar N. Murthy,Civil,2,7.02,69,57,15,62,60,71,53,63,28,16,13,52,13,13,22,26,26,24,16,1,31,0,16,34,38,11,16,3,34,12,10,31,15,64,63,50,52,15,7,4,1,Full Stack Developer
Sahana C. More,CSBS,4,7.4,94,0,20,13,62,60,60,74,67,30,14,29,22,44,39,23,27,34,25,23,16,42,39,0,20,21,13,19,22,40,11,33,14,52,54,41,81,15,22,5,3,Cloud Engineer
Arjun J. Mehta,CSE,4,7.37,48,89,30,68,53,65,44,56,14,19,19,0,23,31,29,37,25,38,43,16,30,0,26,17,29,34,26,31,31,27,24,25,21,54,86,65,54,17,36,8,3,Full Stack Developer
Sakshi M. Krishnamurthy,CSE,2,6.56,70,70,48,77,62,83,66,38,31,34,33,0,23,12,2,17,0,32,41,44,6,35,33,12,42,0,40,18,20,39,0,39,7,67,74,24,28,50,23,5,0,Full Stack Developer
Jai L. Paul,CSE,2,6.49,76,31,24,37,15,39,8,17,26,97,97,53,36,58,29,79,59,58,74,59,75,5,28,18,3,26,13,9,11,18,0,46,22,96,76,43,59,30,14,4,2,Embedded Engineer
Lakshya M. Sinha,AI&DS,1,6.58,94,54,0,53,91,66,68,59,60,14,3,44,29,12,40,29,30,34,22,25,18,43,35,26,11,37,27,30,43,26,18,27,31,39,47,43,57,48,42,3,1,Backend Developer
Samarth N. Prasad,AI,2,6.84,74,0,13,0,23,13,34,36,39,50,28,27,38,28,25,34,51,76,85,72,61,83,84,83,25,31,0,3,23,0,27,55,30,28,60,16,69,19,10,6,2,VLSI Engineer
Ananya P. Ghosh,Mechanical,2,7.42,57,87,79,36,5,88,67,3,41,21,40,39,51,53,7,25,21,36,27,36,12,34,2,15,35,26,32,53,24,17,79,36,35,56,42,48,45,26,50,4,2,ML Engineer
Arjun S. Das,ECE,4,6.65,73,66,8,65,59,66,39,48,20,4,10,16,21,2,22,24,33,0,6,36,24,21,25,28,32,33,31,0,23,34,46,26,8,45,67,51,59,35,18,8,1,Full Stack Developer
Veda T. Joshi,IT,2,7.35,62,82,0,48,66,83,59,50,21,26,40,16,18,46,0,18,0,25,31,0,32,34,16,29,15,23,0,33,22,19,9,19,24,51,53,80,56,8,67,3,1,Full Stack Developer
Sachin A. Sethi,EEE,2,6.76,78,6,42,20,17,18,26,9,30,89,62,53,4,76,55,74,90,61,53,61,92,29,20,33,37,6,20,37,28,27,14,0,26,76,58,0,45,36,20,5,2,Embedded Engineer
Varun N. Kompella,Data Science,1,6.48,63,77,10,55,60,60,42,67,10,59,16,2,12,41,17,10,26,17,16,22,3,0,20,9,20,44,38,22,22,24,36,8,30,11,71,74,60,6,64,4,1,Full Stack Developer
Shreya K. Srinivasan,AI&DS,1,6.84,92,97,59,41,41,76,74,7,24,63,24,19,25,35,14,20,27,21,19,45,5,37,31,48,37,43,34,38,28,55,83,44,29,71,48,84,48,31,49,4,1,ML Engineer
Charitha B. Sinha,Civil,2,7.19,85,26,18,8,20,6,37,4,40,59,32,33,38,30,0,9,47,54,51,47,72,63,49,90,21,2,6,18,0,7,11,29,18,62,58,20,54,47,14,4,1,VLSI Engineer
Lakshya R. Krishnamurthy,IT,2,6.8,97,58,37,79,87,73,84,64,15,17,0,34,40,37,0,28,22,47,22,6,42,15,25,39,25,8,13,41,37,36,25,24,18,84,76,44,34,47,34,5,1,Full Stack Developer
Anika N. Rao,Mechanical,2,7.22,59,6,25,8,18,22,47,24,30,59,79,54,29,59,49,64,69,59,44,57,58,0,11,53,35,47,30,6,32,16,30,14,2,37,69,3,22,25,21,1,2,Embedded Engineer
Tanvi A. Kompella,CSBS,3,7.16,85,82,8,82,86,80,59,46,49,51,14,32,25,35,30,22,19,35,31,48,27,42,29,28,41,34,38,24,33,3,19,48,0,71,48,68,64,32,45,4,2,Full Stack Developer
Dev A. Gupta,Data Science,3,6.82,72,75,63,44,0,98,56,0,7,24,42,15,26,33,18,26,51,59,29,39,55,27,28,11,27,36,42,6,62,6,69,33,15,16,43,62,53,0,44,7,2,ML Engineer
Aryan R. Joshi,ECE,4,6.96,68,76,63,7,24,52,66,0,25,0,35,36,3,28,18,20,4,50,16,44,25,13,27,51,0,43,0,57,6,13,75,45,14,72,69,64,85,51,45,6,2,ML Engineer
Vikram V. Desai,CSE,4,6.9,80,42,32,27,15,43,8,31,15,55,53,54,0,32,19,35,45,19,12,0,44,3,20,45,43,49,5,8,33,69,90,48,53,61,68,44,72,46,16,7,3,Robotics Engineer
Nandini S. Qureshi,Mechanical,1,7.17,84,48,46,35,22,37,19,33,19,78,80,57,55,46,37,27,23,0,24,36,60,9,25,24,58,54,65,84,18,22,24,7,0,58,36,61,82,25,55,3,0,IoT Engineer
Raghav P. Chawla,CSBS,3,7.09,73,16,4,21,20,3,15,25,1,71,39,59,0,17,16,23,23,4,29,22,18,1,0,36,63,40,24,8,8,59,54,56,76,70,73,20,59,63,25,3,1,Robotics Engineer
Avani A. Kapoor,ECE,1,7.02,83,42,8,20,37,29,28,10,30,93,59,40,29,15,17,39,7,37,19,30,23,27,24,32,58,52,10,16,41,65,87,79,79,62,71,29,43,54,25,3,1,Robotics Engineer
Rohit M. Saha,Mechanical,4,7.39,75,28,22,0,33,10,20,22,24,71,40,43,36,18,28,26,27,24,20,45,9,59,16,18,63,67,17,24,10,84,91,86,75,46,59,28,71,40,11,9,2,Robotics Engineer
Advait N. Qureshi,ECE,4,7.55,52,32,15,40,87,41,79,81,67,21,40,24,11,48,35,23,31,30,28,31,31,22,41,34,31,25,48,30,24,6,24,26,42,87,77,44,100,32,30,8,3,Cloud Engineer
Yuvan C. Shah,EEE,2,5.96,83,9,19,14,35,6,5,23,18,58,31,58,25,9,23,1,0,7,0,22,0,18,25,28,47,50,4,0,19,69,54,54,67,36,68,51,85,15,3,5,2,Robotics Engineer
Siddharth P. Ansari,ECE,4,6.97,73,0,43,27,16,19,13,5,0,85,61,40,19,66,40,65,77,94,56,44,62,25,37,24,17,10,31,30,42,29,0,26,18,67,42,10,61,63,31,8,2,Embedded Engineer
Vishal Y. Srinivasan,IT,3,7.01,97,71,66,14,5,63,75,24,34,33,16,52,15,22,18,6,44,28,20,23,23,12,22,50,29,20,4,11,35,16,89,19,46,81,80,55,75,51,15,7,0,ML Engineer
Tarun R. Verma,IT,1,7.11,74,59,85,25,14,67,29,36,7,23,51,19,29,27,19,23,8,14,37,36,6,41,2,50,32,43,9,22,15,33,66,0,21,61,19,59,45,50,36,3,1,ML Engineer
Sowmya M. Koppula,ECE,1,6.85,69,22,42,28,25,20,28,21,8,62,31,53,17,40,45,26,14,29,23,30,24,48,34,28,60,44,39,23,0,55,71,76,76,40,44,27,33,20,18,2,0,Robotics Engineer
Ananya U. Nandi,AI&DS,2,6.62,71,26,10,40,3,27,18,29,39,68,66,21,0,29,38,43,33,6,0,0,0,15,7,9,62,58,27,40,0,82,76,80,82,69,52,31,51,42,19,4,1,Robotics Engineer
Ayush V. Koppula,EEE,3,6.86,70,2,15,20,19,13,54,24,35,49,66,49,51,7,33,23,17,46,35,22,14,11,0,32,78,78,74,45,69,35,0,0,1,15,62,13,85,11,14,5,3,IoT Engineer
Anika H. Patil,EEE,2,6.82,80,0,42,49,15,21,28,42,16,64,55,63,2,12,24,14,20,6,15,12,41,22,9,64,57,40,18,21,5,72,69,62,57,86,47,2,53,60,22,7,1,Robotics Engineer
Rohit G. Srinivasan,AI,1,7.16,48,63,40,14,4,53,51,24,23,0,28,33,40,16,34,23,0,26,24,26,6,31,19,0,27,18,42,23,0,5,40,5,35,63,49,69,69,36,39,3,1,ML Engineer
Sowmya K. Pillai,IT,2,6.84,25,63,28,5,100,57,34,64,54,33,8,33,23,19,43,23,30,28,23,33,17,31,24,4,34,7,21,0,22,26,28,28,17,60,53,38,62,28,24,4,1,Backend Developer
Ishita H. Bose,IT,3,6.74,49,0,12,16,31,27,38,0,19,62,73,65,64,7,56,6,2,54,15,6,9,25,27,14,56,73,53,72,47,2,19,39,23,60,88,18,43,32,32,5,2,IoT Engineer
Karthik S. Prasad,IT,4,7.05,66,64,0,53,64,75,39,44,20,27,23,39,47,20,49,42,10,36,19,61,5,24,1,22,42,0,0,13,46,36,19,8,17,32,53,56,78,10,52,7,1,Full Stack Developer
Karthik M. Murthy,EEE,1,7.11,51,36,37,14,35,31,1,13,17,60,97,53,0,78,33,67,72,66,59,85,76,9,55,27,22,23,24,0,12,32,47,23,27,58,59,26,43,19,10,0,1,Embedded Engineer
Janani D. Naik,AI&DS,2,7.38,96,34,42,51,22,15,32,30,21,68,52,48,5,28,20,28,7,3,0,12,22,15,31,10,63,44,3,14,18,76,58,73,100,71,60,55,60,52,41,3,1,Robotics Engineer
Avani K. Verma,CSE,4,7.01,75,78,3,59,62,67,52,58,35,36,37,28,5,32,37,24,0,44,46,22,35,24,12,22,0,13,28,14,8,6,18,0,56,44,63,67,55,31,48,7,3,Full Stack Developer
Yuvan H. Kapoor,AI,3,6.78,79,2,24,14,28,38,17,31,26,68,33,0,30,19,22,21,52,69,100,56,78,81,81,67,14,29,13,45,20,8,40,63,45,35,63,27,57,37,34,8,3,VLSI Engineer
Pooja K. Sen,AI,3,6.76,85,75,8,7,82,74,59,44,72,17,12,26,13,7,0,24,21,50,36,30,16,25,32,17,26,29,37,27,5,47,0,40,42,58,79,69,74,38,39,7,1,Cybersecurity Analyst
Mohan P. Joshi,CSE,2,6.96,62,0,0,0,64,61,80,64,47,22,32,24,36,37,18,24,22,20,4,37,3,50,19,17,0,23,19,30,58,19,31,11,24,64,61,14,47,37,7,7,2,Cloud Engineer
Rhea V. Kapoor,CSBS,1,6.79,100,37,26,45,88,58,69,83,69,19,5,14,31,13,18,0,23,25,14,33,11,32,16,9,13,22,33,23,23,35,3,5,16,81,41,53,62,52,25,1,1,Cloud Engineer
Neha H. Bhat,EEE,1,6.73,62,28,9,20,23,39,14,8,14,42,89,41,52,51,69,11,0,9,2,17,12,43,8,56,63,62,89,72,37,27,20,17,0,48,47,45,67,27,15,2,0,IoT Engineer
Radhika K. Joshi,AI,4,7.56,59,30,40,42,43,27,11,35,46,48,6,42,12,25,49,38,54,47,82,59,72,98,62,82,20,37,40,16,14,17,8,51,14,76,57,20,83,61,17,8,3,VLSI Engineer
Sanjay A. Iyer,IT,4,7.18,67,11,1,10,80,42,71,80,64,31,32,44,37,17,14,10,18,19,35,18,28,0,0,10,30,27,45,10,45,19,14,10,28,82,56,35,76,65,18,7,2,Cloud Engineer
Rahul U. Arora,IT,4,7.01,85,78,20,62,99,90,60,77,21,7,10,51,26,26,44,19,14,35,28,21,10,17,22,23,34,3,43,34,29,19,32,13,5,59,96,65,61,21,37,6,1,Full Stack Developer
Sai R. Shetty,AI,3,6.74,60,37,30,41,31,27,42,8,23,64,16,70,9,15,39,13,52,73,76,43,81,49,72,66,18,29,9,22,34,3,0,73,0,48,81,47,90,42,21,5,1,VLSI Engineer
Kritika K. Iyengar,Civil,3,7.31,73,20,40,18,39,15,12,8,0,71,30,68,27,10,38,4,2,23,0,0,44,21,8,17,59,55,14,33,28,64,47,72,83,43,75,25,73,18,27,7,2,Robotics Engineer
Aakash N. Arora,IT,2,6.85,61,22,40,37,67,66,91,93,60,10,0,43,17,41,47,14,45,27,14,34,31,52,13,48,17,18,35,19,22,2,34,0,9,75,60,25,71,38,31,4,1,Cloud Engineer
Sakshi B. Pawar,Mechanical,3,6.91,63,93,0,75,87,48,69,47,0,28,12,24,22,12,17,10,23,0,25,21,0,16,21,23,33,11,38,39,21,52,26,43,0,50,79,62,76,39,51,6,3,Full Stack Developer
Keerthana V. Ahmed,Mechanical,1,7.17,87,11,26,20,33,19,37,26,23,37,38,10,3,33,22,0,61,68,56,27,80,70,62,69,23,19,47,27,16,15,8,65,18,39,69,33,85,34,23,2,1,VLSI Engineer
Neha M. Varma,Data Science,1,6.55,74,6,17,44,11,16,9,9,23,50,64,52,18,13,22,19,27,0,10,31,28,33,26,32,65,68,31,45,20,84,76,46,66,64,58,21,64,33,40,5,2,Robotics Engineer
Mohan C. Bhat,Mechanical,2,6.73,50,72,27,52,83,72,70,61,0,5,30,22,39,22,1,14,2,32,30,5,19,23,43,35,30,19,55,13,29,18,21,26,16,47,62,54,58,13,16,2,2,Full Stack Developer
Tejaswini R. Verma,Data Science,1,7.16,88,15,27,21,34,11,34,27,3,54,22,33,36,27,60,14,61,77,66,66,81,96,78,80,30,21,2,0,3,23,23,54,22,52,52,36,47,24,16,3,0,VLSI Engineer
Saiya V. Krishnamurthy,AI,1,6.76,64,2,3,24,60,54,65,79,39,18,35,0,25,45,17,39,30,13,26,21,11,7,22,25,41,8,44,46,0,24,28,10,16,58,36,0,66,31,30,3,0,Cloud Engineer
Pooja V. Varma,AI,3,7.45,66,87,71,46,3,60,47,41,9,31,19,19,23,23,23,27,6,38,18,17,7,25,15,39,40,50,0,20,39,20,75,9,35,65,69,64,91,26,45,5,2,ML Engineer
Rahul S. Desai,Data Science,1,6.83,78,64,80,8,30,84,61,0,4,34,21,47,38,47,12,24,17,33,52,11,17,19,37,25,13,48,13,11,1,20,70,6,16,48,41,55,78,19,27,0,0,ML Engineer
Raghav A. Satyanarayana,AI,4,7.28,67,19,3,19,23,13,35,26,6,59,19,9,42,24,29,14,69,80,56,38,71,69,67,86,40,30,24,44,32,34,2,75,49,59,75,23,79,16,44,7,2,VLSI Engineer
Anika G. Patel,Civil,2,6.78,100,84,30,31,50,66,62,45,72,36,11,32,52,18,21,28,29,0,54,33,26,9,32,22,15,30,36,37,28,2,15,33,37,48,46,76,53,22,63,5,1,Cybersecurity Analyst
Yash S. Khan,ECE,4,6.68,63,31,33,7,12,0,0,35,4,52,80,43,0,42,47,56,74,74,45,41,50,12,18,51,14,13,2,54,16,33,16,41,0,60,78,24,76,53,29,6,2,Embedded Engineer
Deepika R. More,Mechanical,3,6.96,67,35,26,30,94,35,92,60,49,20,19,10,27,25,14,26,26,43,21,3,17,51,7,11,59,32,33,20,35,5,0,10,21,43,16,41,47,22,27,6,2,Cloud Engineer
